t_ps,x1_A,y1_A,z1_A,x2_A,y2_A,z2_A,vx1_Aps,vy1_Aps,vz1_Aps,vx2_Aps,vy2_Aps,vz2_Aps,E_kin_eV,E_pot_eV,E_total_eV
3.4000000000000002e-01,1.4961490704210421e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4961490704210421e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.1571712213614154e-01,0.0000000000000000e+00,0.0000000000000000e+00,-9.1571712213614154e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1038574091976382e-02,3.2186067992032596e-01,3.3289925401230236e-01
3.5000000000000003e-01,1.4998596380133582e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4998596380133582e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.7496743374211632e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.7496743374211632e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.0299972673091446e-04,3.3251491117957266e-01,3.3291791090630357e-01
3.5999999999999999e-01,1.4926497217461998e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4926497217461998e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2641194374831837e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2641194374831837e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1036162936806251e-02,3.1183967106030641e-01,3.3287583399711268e-01
3.7000000000000000e-01,1.4745772492636944e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4745772492636944e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3382977941818361e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3382977941818361e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.1976371243601664e-02,2.6067817494634382e-01,3.3265454618994550e-01
3.8000000000000000e-01,1.4458837658625630e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4458837658625630e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.3641629659059018e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3641629659059018e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4898562212450625e-01,1.8289987478990144e-01,3.3188549691440772e-01
3.9000000000000001e-01,1.4072939899455765e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4072939899455765e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.2611764182501162e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2611764182501162e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3902830808470338e-01,9.0797278391606409e-02,3.2982558647630977e-01
4.0000000000000002e-01,1.3606602374975607e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3606602374975607e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.8571581802005577e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8571581802005577e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1056663879379803e-01,1.5069827309573694e-02,3.2563646610337171e-01
4.1000000000000003e-01,1.3101508263415653e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3101508263415653e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.8392847550756040e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8392847550756040e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0828519098155682e-01,1.2439131739814039e-02,3.2072432272137086e-01
4.1999999999999998e-01,1.2638745423960487e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2638745423960487e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.7961842463499802e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7961842463499802e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8970766243721451e-01,1.3371352670368261e-01,3.2342118914089713e-01
4.2999999999999999e-01,1.2342271414145658e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2342271414145658e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5590153991457552e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5590153991457552e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1995663264957633e-02,3.0627636607815384e-01,3.3827202934311146e-01
